                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94714,                 2.4552,                 1.3371,                0.06263,                0.99275,                0.82601,                0.58301,                0.78444,                 3.3218,                 1.3975,             0.00031438,             0.00031438,             0.00031438
                      2,                0.87634,                 1.6498,                 1.2816,                0.97665,                0.44383,                0.94513,                 0.6039,                0.99272,                 2.8796,                 1.7427,             0.00043084,             0.00043084,             0.00043084
                      3,                0.95073,                 1.5739,                 1.3241,                0.96901,                0.43865,                0.90313,                  0.605,                0.97437,                 2.8279,                 1.6557,             0.00033038,             0.00033038,             0.00033038
